objid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
img2_isl99,-7.382564,15.629363,3.212222,1.0909755,-2.5679395,-7.398463,4.446086,-1.6240625,-0.22000888,3.444643,-0.663263,-0.84791994,2.0415456,-1.4567796,-0.30653036,-1.073265,2.521759,0.76859593,0.45162362,3.6576426,1.5125127,0.38134518,0.74738234,0.52387565,-0.13448942,0.20095092,1.6251695,-0.573746,-0.6287325,-1.0722699,0.09154302,-0.5194198,-1.6799269,0.022661606,-0.19759658,-0.48978585,0.48256648,0.33894238,1.6429865,0.31775674,-0.85286796,0.4449122,-0.04341551,-0.15798935,0.10771176,-0.40900034,-0.34326482,-0.664431,-0.23205456,0.6562006,-1.4117069,0.0011119545,0.20558423,0.13142368,-0.12717743,0.8280484
img2_isl156,-5.645056,3.4688163,1.33815,2.754958,-3.8205788,-4.3991084,0.36742193,1.4190539,3.45436,0.3529454,-2.4742646,2.3613358,-0.51424783,-1.0040978,0.041171804,0.49222678,-0.7054924,1.1040876,-1.5849966,-0.8582159,0.05826973,1.144246,1.3410546,0.008660525,1.6040401,-0.72297776,-0.16625738,-0.8072971,-1.1870712,-2.0139046,0.26916626,0.67789894,-0.53300756,0.68373036,-1.141475,0.6551826,-0.7468442,0.063672,0.9592084,0.28515828,0.5922989,-0.40443847,-0.6659852,0.023859428,0.16377294,0.20983855,0.07769996,0.9636713,0.21859986,-0.4117009,-0.07085051,0.030605972,-0.17159407,-0.13686134,-0.47363856,-0.61378205
img2_isl322,-6.8828397,-8.205845,7.149513,4.905098,-0.37796924,2.3584766,-1.310074,-5.6057167,-1.7001029,1.7166448,0.16262457,1.3146149,1.0426061,0.59105116,-0.8901311,-0.01273112,-0.10246259,-1.4312762,1.2815818,0.31473035,-0.1870021,-0.64031106,1.0831059,-0.44637468,-0.064299285,0.4975989,0.34892774,0.32400006,-0.18613738,-0.37527144,0.39024135,0.51478255,-0.17211324,-0.09371036,-0.25832596,-0.30072126,-0.52680874,-0.083539166,-0.061453134,0.2669505,-0.3875028,0.13821882,0.2688231,0.050611604,0.26707637,-0.21487439,0.27238858,0.22917622,0.34161198,-0.1105074,-0.10711901,-0.071784884,-0.15758245,0.279806,-0.009713501,0.00061845034
img2_isl326,-1.4431806,2.2275543,-2.3630648,-3.8253846,1.178004,0.010212839,-1.7828135,0.19804561,2.1106825,3.1605468,-2.24963,-0.76368666,1.1943294,1.2743686,0.0748647,0.4910934,-1.9254092,0.24575168,0.9934932,0.49324465,-1.2454454,-1.4647673,0.104118,-0.040700346,0.36131293,-0.03388664,-0.5651036,-0.11981161,-0.6393791,0.1736399,0.1780183,-0.751166,0.09821242,1.1847702,0.5298816,0.15740722,0.11112431,0.63055634,-0.56555355,-0.108169414,-0.5351571,0.8437618,0.061083697,0.22897246,0.363676,-0.13608563,0.36598647,0.11212325,-0.22560859,0.18887606,0.5399873,0.2962835,-0.3209807,-0.003514707,0.016786754,0.1702141
img2_isl391,-5.6723533,-4.1137295,5.0284386,-0.45924282,3.9850867,1.6846346,-2.923213,0.7080791,-0.621665,0.17956334,1.8410896,-0.8934212,-0.963991,-0.12682602,-0.14652199,0.8398534,1.1052201,2.2959282,1.1616446,-0.111584395,-0.3474755,1.0626472,0.09501368,-0.40275463,0.10621196,-0.40968713,0.3798127,-0.6089919,-0.22783628,0.68362653,-0.1613918,0.15873247,-0.35289413,0.8883287,-0.0047372878,-0.20651753,0.46929216,-0.21844786,0.6597901,0.008814376,0.35279185,0.07097918,-0.08557936,-0.30314517,0.13753971,-0.12325713,0.21681464,0.4252511,-0.13425182,0.10606958,0.07419969,-0.24061838,0.007062733,0.5547888,0.39998296,-0.19177361
img2_isl494,-4.2329383,2.857397,-1.9148773,-1.1155642,3.3170974,0.6048832,-1.344863,3.3955832,-1.3017489,-0.17607987,-0.52632946,2.691318,-2.0452363,2.0558016,1.1086805,-2.6335244,-0.14418024,-0.5849299,0.8204583,-0.17583466,1.1904207,-0.89879704,-1.015159,0.6425041,-1.1694691,0.5805987,0.87706983,-0.2081023,0.35575214,-0.30944413,0.6141616,0.60695106,0.06255454,0.8146405,0.4892661,-0.3951411,-0.0020855367,-0.09702538,-0.4970899,0.107255235,0.44309092,-0.27422017,-0.0041622445,-0.2641155,0.7241996,-0.51096815,-0.28377357,-0.2328571,0.2512759,0.29365432,0.714941,-0.18907286,0.5144061,0.2859131,-0.525654,0.6342153
img2_isl694,16.91202,2.0286517,5.8290577,2.0070784,0.42283183,1.7116354,0.60555667,1.6916063,-1.1769068,0.7705731,-2.0282555,-0.8225639,-0.3476128,1.0543647,-0.4717061,0.13504739,-0.38875544,0.013175316,-1.0267332,0.94816667,-0.5717573,0.4659465,-0.41818446,-1.075047,-0.9619512,-1.2643957,-0.031240106,0.19357754,-0.47728232,-0.050459385,-0.25558558,-0.122854725,-0.20899987,-0.072595455,-0.53505826,-0.6582208,-0.8923013,-0.32932195,-0.14751008,-0.27569625,-0.48574036,-0.4141131,-0.18108752,0.03167144,-0.13318622,0.13397259,0.23746908,-0.49098754,0.060733005,-0.040560633,0.40757763,-0.25498742,0.34463066,0.4145441,-0.15860732,0.18232922
img2_isl903,-2.3967078,-5.805242,-2.6044593,-0.5809598,-2.757159,0.43318468,1.1695435,1.4406505,0.16046488,0.3375941,0.28125212,0.40464437,-1.0647519,-0.17692788,0.75741315,-0.9316108,0.3853114,-0.40793848,-1.022398,0.20797098,-0.30347157,0.61502117,-0.3131492,-0.034493238,0.10104185,-0.17468569,-0.45695865,0.45064098,0.24459061,0.040994108,-0.33178332,-0.191978,-0.6284278,0.50418246,0.26704174,-0.32471022,-0.012796104,0.22946411,0.33160353,-0.17961693,-0.40838423,0.15641844,0.18220915,-0.18582231,-0.011007279,0.07128362,-0.12301089,-0.022593465,-0.091009505,0.23076776,0.28392658,-0.04435879,0.05436355,0.11218944,0.070756406,0.0015874654
img2_isl991,6.9552846,2.058013,-0.076970905,-3.2706912,3.936414,2.3821955,-0.6233638,-2.599078,-2.1036696,-0.61340284,-2.8991785,1.7409023,-1.4192431,1.2704307,1.394859,1.4182107,-0.5859946,0.7403831,-2.678828,2.0000741,1.0308117,0.908084,0.027501285,-1.1064715,0.529208,0.23054123,1.4437718,0.7899695,0.77817976,-0.6784989,-0.21438542,-0.007823169,-0.28775924,-0.1196599,-0.4598131,-0.40248454,-0.20623207,-1.1268376,-0.005526066,-0.04997059,-0.04425715,0.1379157,0.10115902,0.06174512,-0.19239189,-0.0045274347,-0.24769978,0.28362432,0.08471525,0.23993613,-0.28885108,-0.1371153,-0.42423207,0.25555265,-0.06404382,-0.041515186
img2_isl1033,1.9700447,3.300003,-5.072981,-2.3276372,1.0821953,2.9642472,-1.881439,-3.2277012,-1.2487867,0.15729445,-2.0055926,-1.457367,1.9225163,-2.4997098,-0.82923996,-0.8983168,-0.45030743,0.7021508,-1.0244375,-0.7097114,-0.028019615,-0.52380097,0.0984695,0.26766685,-0.7191741,-0.078440666,-0.9277521,0.364699,-1.2059714,-0.09061915,0.05228558,-0.046990782,-0.7118556,0.31752077,0.5213546,0.22928375,0.4731893,0.45506337,-0.041993663,-0.34388322,0.26546532,0.583163,-0.51454705,-0.4998474,0.8121354,0.5831938,-0.21902773,-0.15503234,0.43285143,-0.5155083,0.40187365,0.03891337,0.0037158132,0.4384023,0.21191475,-0.28606883
